"player_id","first_name","last_name","sex"
"485","Hugh","Lowry","m"
"486","Mary","Lowry","f"
"487","Aaron","Loy","m"
"488","Lee","Lukehart","m"
"489","Tim","Mackey","m"
"490","John","MacMillan","m"
"491","Joe","MacNamara","m"
"492","Michael","MacPherson","m"
"493","Bill","MacWilliams","m"
"494","Ralph","Maffett","m"
"495","Dan","Magallanes","m"
"496","Keith","Mahan","m"
"497","Florian","Maier","m"
"498","Lev","Malakhoff","m"
"499","Nancy","Malakhoff","f"
"500","Ed","Malloy","m"
"501","Barry","Mang","m"
"502","Danelle","Mangone","-"
"503","Rufus","Manley","m"
"504","Lorenzo","Manzani","m"
"505","Wayne","Marcus","m"
"506","David","Marez","m"
"507","Dean","Marlow","m"
"508","Pat","Marron","m"
"509","Dean","Marshall","m"
"510","Don","Marshall","m"
"511","Gregor","Marter","m"
"512","Dennis","Martin","m"
"513","Rudy","Martinez","m"
"514","Eric","Marx","m"
"515","Jack","Mason","m"
"516","Deano","Matsumoto","m"
"517","Joan","Matteuzzi","f"
"518","Mike","Mattioli","m"
"519","Willie","McBride","m"
"520","Mike","McCargle","m"
"521","Stacy","McCarthy","f"
"522","Mitch","McClellan","m"
"523","Kevin","McCoy","m"
"524","Bruce","McCray","m"
"525","John","McCray","m"
"526","Brian","McElwain","m"
"527","Danny","McInnis","m"
"528","Justin","McLean","m"
"529","Craig","McNab","m"
"530","Jeff","McNelly","m"
"531","Jim","McNelly","m"
"532","Martin","Mehring","m"
"533","Roger","Meier","m"
"534","Brian","Meigs","m"
"535","Joe","Mela","m"
"536","Johnny","Melfi","m"
"537","John","Meller","m"
"538","Joe","Messner","m"
"539","Scott","Michaelson","m"
"540","Paul","Mihalec","m"
"541","Bevan","Miller","-"
"542","Leighton","Miller","-"
"543","Krisi","Mills","f"
"544","Mike","Misakian","m"
"545","Deaton","Mitchell","m"
"546","Espen","Mökkelgjerd","m"
"547","Jay","Moldenhauer","m"
"548","Willie","Monahan","m"
"549","Rick","Monroe","m"
"550","Tom","Monroe","m"
"551","Rich","Montgomery","m"
"552","Dave","Moody","m"
"553","Jeff","Moore","m"
"554","Steve","Moran","m"
"555","Trey","Morgan","m"
"556","George","Morris","m"
"557","Jeff","Morris","m"
"558","Bob","Morrissey","m"
"559","Bob","Morton","m"
"560","Judah","Moser","m"
